Actual Likes,Predicted Likes
45.0,44.89
50.0,50.0
36.0,35.78
45.0,44.86
70.0,70.0
55.0,55.0
60.0,60.0
70.0,70.0
51.0,49.14
55.0,55.0
35.0,35.0
80.0,80.0
15.0,15.0
32.0,31.74
30.0,30.0
50.0,50.0
45.0,44.98
40.0,40.0
25.0,25.0
30.0,30.0
35.0,35.12
60.0,60.0
30.0,30.0
50.0,50.0
50.0,50.0
45.0,44.17
45.0,45.0
55.0,55.0
60.0,60.0
52.0,51.05
60.0,60.0
38.0,37.96
60.0,60.0
55.0,55.0
50.0,48.94
70.0,70.0
70.0,70.0
35.0,35.1
50.0,50.0
45.0,45.04
40.0,40.0
45.0,44.52
70.0,70.0
50.0,50.0
45.0,44.5
40.0,39.9
20.0,20.0
50.0,50.0
35.0,35.1
60.0,60.0
30.0,30.0
60.0,60.0
40.0,39.86
25.0,25.01
28.0,28.0
50.0,50.0
46.0,45.71
45.0,44.88
35.0,35.03
35.0,35.11
60.0,60.0
45.0,44.61
40.0,39.99
35.0,35.65
70.0,70.0
55.0,55.0
70.0,70.0
20.0,20.0
45.0,44.97
70.0,70.0
30.0,29.98
30.0,30.0
60.0,60.0
40.0,39.87
45.0,44.68
35.0,35.04
80.0,80.0
28.0,27.85
40.0,39.96
40.0,39.86
39.0,39.81
30.0,30.0
55.0,55.0
45.0,44.06
80.0,80.0
43.0,40.71
28.0,28.0
28.0,27.99
50.0,50.0
50.0,50.0
35.0,35.0
60.0,60.0
39.0,39.42
60.0,60.0
48.0,50.0
30.0,30.0
44.0,44.89
80.0,80.0
45.0,44.97
25.0,25.0
70.0,70.0
28.0,27.78
50.0,50.0
50.0,50.0
35.0,35.0
70.0,70.0
50.0,50.0
40.0,39.97
45.0,44.82
30.0,30.0
26.0,25.9
55.0,55.0
50.0,50.0
45.0,44.83
45.0,45.0
26.0,25.45
35.0,35.01
35.0,35.01
30.0,30.0
55.0,55.0
55.0,55.0
30.0,29.78
40.0,40.0
40.0,40.0
36.0,35.68
55.0,55.0
15.0,15.18
50.0,50.0
50.0,50.0
45.0,44.68
44.0,44.86
40.0,39.88
36.0,35.51
49.0,50.0
50.0,50.0
30.0,30.0
36.0,35.15
80.0,80.0
35.0,35.0
25.0,24.97
40.0,39.99
30.0,29.94
30.0,30.0
15.0,14.95
40.0,40.0
20.0,20.0
50.0,50.0
